raw_line,label
# 18_07_25 Limbs B,DATE
01_09_25 Upper A,DATE
02_08_25 Upper C,DATE
02_09_25 Lower B,DATE
03-11-25 Upper A,DATE
03_09_25 Upper C,DATE
04-11-25 Lower  B,DATE
05_08_25 Upper A,DATE
06-10-25 Upper A,DATE
06-11-25 Upper C,DATE
06_08_25 Lower  B,DATE
07-10-25 Lower  B,DATE
07-11-25 Lower D,DATE
08-11-25 Sharms,DATE
08_08_25 Upper C,DATE
08_09_25 Lower D,DATE
09-10-25 Upper C,DATE
09_08_25 Full Body D,DATE
09_09_25 Upper A,DATE
10-10-25 Lower D,DATE
10-11-25 Upper A,DATE
10_07_25 Torso A,DATE
10_09_25 Lower  B,DATE
11-11-25 Lower  B,DATE
12_07_25 Limbs A,DATE
12_08_25 Upper A,DATE
12_09_25 Upper C,DATE
13-10-25 Upper A,DATE
13-11-25 Upper C,DATE
13_08_25 Lower  B,DATE
13_09_25 Lower D,DATE
14-10-25 Lower  B,DATE
14_07_25 Torso A,DATE
14_08_25 Upper C,DATE
15-10-25 Upper C,DATE
15_07_25 Limb A,DATE
16-10-25 Lower D,DATE
17-09-25 Lower  B,DATE
17-10-25 Sharms,DATE
17/07/25 Torso B,DATE
18-09-25 Upper C,DATE
18_08_25 Lower D,DATE
19-11-25 Full Body,DATE
19_08_25 Upper A,DATE
- Barbell Back Squats (4-6 reps),EXERCISE
- Barbell Back Squats (5-8 reps),EXERCISE
- Barbell Bench Press (4-6 reps),EXERCISE
- Barbell Bench Press (5-8 reps),EXERCISE
- Barbell Bent-over Rows (5-8 reps),EXERCISE
- Barbell Bent-over Rows (6-8 reps),EXERCISE
- Barbell Curls (5-8 Reps),EXERCISE
- Barbell Curls (8-10 reps),EXERCISE
- Barbell Good mornings (5-8 reps),EXERCISE
- Barbell Hammer Curl (5-8 Reps),EXERCISE
- Barbell Overhead Press (5-8 reps),EXERCISE
- Barbell RDL (5-8 reps),EXERCISE
- Barbell RDL (8-12 reps),EXERCISE
- Barbell Shrugs (5-8 reps),EXERCISE
- Barbell Squats (5-8 reps),EXERCISE
- Bench Press (5-8 reps),EXERCISE
- Bulgarian Split Squats (5-8 reps),EXERCISE
- Bulgarian Split Squats (8-10 reps),EXERCISE
- Cable Curls (5-8 reps),EXERCISE
- Cable Curls (8-10 reps),EXERCISE
