raw_line,confidence,source_file,line_no,label
(last time done 6 reps),0.5516483516483517,03_09_25 Upper C.txt,32,NOTE
(last time done 6 reps),0.5516483516483517,03_09_25 Upper C.txt,32,NOTE
- Push Ups (AMRAP),0.45830908115593355,03_09_25 Upper C.txt,37,EXERCISE
(leg extension machine fault),0.5846470582593873,06_08_25 Lower  B.txt,22,NOTE
- Pullups (AMRAP),0.5859947792532062,07-10-25 Lower  B.txt,16,EXERCISE
(felt little on triceps),0.5665559246954597,08_08_25 Upper C.txt,20,NOTE
**Cool-down (5 minutes):**,0.5598197047024773,08_08_25 Upper C.txt,33,OTHER
- Pullups (AMRAP),0.5859947792532062,08_09_25 Lower D.txt,2,EXERCISE
**Cool-down:**,0.4952720499232226,09_08_25 Full Body D.txt,41,OTHER
(done with deadhangs),0.5528135285046586,09_09_25 Upper A.txt,24,NOTE
**Dynamic Warm-up (5-7 minutes):**,0.5967350078854762,10-10-25 Lower D.txt,2,OTHER
- Pullups (AMRAP),0.5859947792532062,10-10-25 Lower D.txt,12,EXERCISE
**Cool-down (5 minutes):**,0.5598197047024773,10-10-25 Lower D.txt,36,OTHER
- Lat pulldown (wide grip),0.5203488372093024,10-11-25 Upper A.txt,10,EXERCISE
- Lat pulldown (wide grip),0.5203488372093024,13-10-25 Upper A.txt,9,EXERCISE
**Dynamic Warm-up (5-7 minutes):**,0.5967350078854762,13_09_25 Lower D.txt,2,OTHER
**Cool-down (5 minutes):**,0.5598197047024773,13_09_25 Lower D.txt,37,OTHER
**Dynamic Warm-up (5-7 minutes):**,0.5967350078854762,16-10-25 Lower D.txt,2,OTHER
**Cool-down (5 minutes):**,0.5598197047024773,16-10-25 Lower D.txt,32,OTHER
- Pullups (AMRAP),0.5859947792532062,17-09-25 Lower  B.txt,16,EXERCISE
- Lat Pulldown (Wide Grip),0.5203488372093024,17_07_25 Torso B.txt,5,EXERCISE
—,0.4186404709880825,18_07_25 Limbs B.txt,26,OTHER
**Dynamic Warm-up (5-7 minutes):**,0.5967350078854762,18_08_25 Lower D.txt,2,OTHER
(learning),0.4286670533772943,18_08_25 Lower D.txt,12,NOTE
**Cool-down (5 minutes):**,0.5598197047024773,18_08_25 Lower D.txt,46,OTHER
**Dynamic Warm-up (5-7 minutes):**,0.5967350078854762,20-09-25 Lower D.txt,2,OTHER
- Pullups (AMRAP),0.5859947792532062,20-09-25 Lower D.txt,11,EXERCISE
**Cool-down (5 minutes):**,0.5598197047024773,20-09-25 Lower D.txt,37,OTHER
- Lat pulldown (wide grip),0.5203488372093024,22-10-25 Upper A.txt,11,EXERCISE
