date,program,exercise,num_sets,max_1rm,best_weight_kg,best_reps,total_volume,max_time_sec
2025-07-17,Torso B,Chest Pec Deck,2,56.0,45.0,7.0,585.0,
2025-07-17,Torso B,DB Incline Press,2,25.0,20.0,7.0,260.0,
2025-07-17,Torso B,Dumbbell Lateral Raises,2,10.0,7.5,12.0,165.0,
2025-07-17,Torso B,Finger Push-Ups,1,,,,0.0,
2025-07-17,Torso B,Lat Pulldown,3,56.0,45.0,7.0,585.0,
2025-07-17,Torso B,Reverse Pec Deck,2,48.0,40.0,6.0,440.0,
2025-07-17,Torso B,Seated Barbell Press,2,32.0,26.0,7.0,374.0,
2025-07-17,Torso B,Shrugs,2,26.0,20.0,9.0,340.0,
2025-07-17,Torso B,T-Bar Rows,2,48.0,40.0,6.0,480.0,
2025-09-16,Upper A,Barbell Bench Press,2,76.0,62.0,7.0,744.0,
2025-09-16,Upper A,Barbell Bent Over Rows,2,71.0,56.0,8.0,784.0,
2025-09-16,Upper A,Barbell Overhead Press,2,43.0,34.0,8.0,442.0,
2025-09-16,Upper A,Cable Bicep Curls,3,27.0,20.0,11.0,600.0,
2025-09-16,Upper A,Dumbbell Lateral Raises,3,12.0,7.5,19.0,367.5,
2025-09-16,Upper A,Overhead Cable Tricep Extension,3,19.0,15.0,8.0,300.0,
2025-09-16,Upper A,Reverse Pec Deck,2,51.0,40.0,8.0,560.0,
2025-09-16,Upper A,Weighted Pull-Ups,4,6.0,5.0,5.0,50.0,
2025-09-17,Lower  B,Barbell Back Squats,2,82.0,70.0,5.0,630.0,
2025-09-17,Lower  B,Barbell RDLs,2,64.0,46.0,12.0,1104.0,
2025-09-17,Lower  B,Elbow-Supported Leg Raises,2,,,,0.0,
2025-09-17,Lower  B,Leg Press,2,187.0,140.0,10.0,2660.0,
2025-09-17,Lower  B,Lying Hamstring Curls,2,25.0,20.0,7.0,260.0,
2025-09-17,Lower  B,Plank,2,,15.0,,0.0,60.0
2025-09-17,Lower  B,Seated Calf Raises,2,22.0,15.0,15.0,405.0,
2025-09-17,Lower  B,Weighted Pull-Ups,2,,,,0.0,
2025-09-18,Upper C,Dumbbell Lateral Raises,3,12.0,7.5,20.0,390.0,
2025-09-18,Upper C,Dumbbell Preacher Curls,3,25.0,20.0,7.0,320.0,
2025-09-18,Upper C,Face Pulls,3,27.0,20.0,10.0,540.0,
2025-09-18,Upper C,Incline Barbell Bench Press,2,64.0,52.0,7.0,728.0,
2025-09-18,Upper C,Lat Pulldown,3,66.0,55.0,6.0,880.0,
2025-09-18,Upper C,Seated Cable Rows,2,57.0,45.0,8.0,630.0,
