_source_file,date,program,exercise,set_no,weight_kg,reps,time_sec,iso_load,volume,notes
01_09_25 Upper A.txt,01_09_25,Upper A,Barbell Bench Press,1.0,,66.0,,,,f
01_09_25 Upper A.txt,01_09_25,Upper A,Barbell Bench Press,2.0,66.0,3.0,,,198.0,f
01_09_25 Upper A.txt,01_09_25,Upper A,Barbell Bent Over Rows,1.0,56.0,6.0,,,336.0,f
01_09_25 Upper A.txt,01_09_25,Upper A,Barbell Bent Over Rows,2.0,56.0,4.0,,,224.0,f
01_09_25 Upper A.txt,01_09_25,Upper A,Weighted Pull-Ups,1.0,,4.0,,,,f
01_09_25 Upper A.txt,01_09_25,Upper A,Weighted Pull-Ups,2.0,,3.0,,,,f ; (Neutral Grip)
01_09_25 Upper A.txt,01_09_25,Upper A,Lat Pulldown,1.0,60.0,5.0,,,300.0,f
01_09_25 Upper A.txt,01_09_25,Upper A,Lat Pulldown,2.0,,60.0,,,,f
01_09_25 Upper A.txt,01_09_25,Upper A,Incline Dumbbell Press,1.0,20.0,11.0,,,220.0,f
01_09_25 Upper A.txt,01_09_25,Upper A,Incline Dumbbell Press,2.0,20.0,7.0,,,140.0,f
01_09_25 Upper A.txt,01_09_25,Upper A,Dumbbell Lateral Raises,1.0,10.0,7.0,,,70.0,f
01_09_25 Upper A.txt,01_09_25,Upper A,Dumbbell Lateral Raises,2.0,,10.0,,,,f
01_09_25 Upper A.txt,01_09_25,Upper A,Barbell Bicep Curls,1.0,30.0,9.0,,,270.0,f
01_09_25 Upper A.txt,01_09_25,Upper A,Barbell Bicep Curls,2.0,30.0,6.0,,,180.0,f
01_09_25 Upper A.txt,01_09_25,Upper A,Overhead Cable Tricep Extension,1.0,17.0,6.0,,,102.0,f
01_09_25 Upper A.txt,01_09_25,Upper A,Overhead Cable Tricep Extension,2.0,17.0,4.0,,,68.0,f
01_09_25 Upper A.txt,01_09_25,Upper A,Reverse Pec Deck,1.0,40.0,7.0,,,280.0,f
01_09_25 Upper A.txt,01_09_25,Upper A,Reverse Pec Deck,2.0,40.0,6.0,,,240.0,f
